id,name,postcode,area,address,longitude,latitude,tel,site,summary,icon,article
19,スペースワールド,805-0071,八幡東区,東田４丁目1-1,33.87361,130.811883,093-672-3600,http://www.spaceworld.co.jp/,,ロケット.png,
20,皿倉山,805-0057,八幡東区,尾倉（大字）,33.847368,130.796654,,,,皿倉山.png,
21,いのちのたび博物館,805-0071,八幡東区,東田2丁目4-1,33.869466,130.808482,093-681-1011,http://www.kmnh.jp/,北九州市立自然史・歴史博物館は、伝統と実績のある北九州市立の３つの博物館（自然史、歴史、考古）がー体となり、パワーアップした魅力的な博物館として２００２年１１月に誕生しました。,,
22,吉祥寺公園,807-1114,八幡西区,吉祥寺町14-10,33.807827,130.734382,093-642-1441,,,吉祥寺.png,
23,足立山公園,,小倉北区,寿山町７−１４,33.868876,130.905833,,,,,
24,安部山公園,,小倉南区,安部山１４,33.849455,130.908589,,,,,
25,中央公園,,小倉北区,井堀４丁目１３,33.880121,130.846415,,,,,
26,高塔山公園,808-0053 ,若松区,修多羅,33.903133,130.798769,,,,,
27,皇后崎公園,806-0043 ,八幡西区,青山２丁目１ ,33.861525,130.754825,,,,,
28,河内貯水池,805-0045,八幡東区,河内１丁目,33.837963,130.810278,,,,,
29,高炉台公園,,八幡東区,中央３丁目９,33.866025,130.81577,,,,,
30,美術の森公園,,戸畑区,西鞘ケ谷町２１ ,33.870578,130.829247,,,,,
31,さくら通り,805-0067,八幡東区,祇園,33.863757,130.790193,,,,,
32,畑貯水池,,八幡西区,畑１８,33.803394,130.758423,,,,,
33,白野江植物公園,801-0802,門司区,白野江２丁目,33.936363,131.003583,093-341-8111,http://www.shiranoe.com/,北九州唯一の花木公園,,
34,小倉城,803-0813,小倉北区,城内２−１,33.884663,130.874261,,,,,
35,農事センター,802-0822,小倉南区,横代東町１丁目６,33.834726,130.900961,,,,,
37,大里公園,800-0032,門司区,不老町一丁目1番,33.897331,130.937863,093-582-2460,http://www.city.kitakyushu.lg.jp/kensetu/file_0234.html,プール・陸上競技場・野球場などの運動施設がある広い公園です。西側の花見広場のサクラがとてもきれいです。都市高速道路のガード下を抜けて東側に上がると、展望台から市街地や海を見ることができます。,,
38,手向山公園,,小倉北区,赤坂４丁目８,33.890601,130.913471,,,,,
39,昭和池公園,,小倉南区,朽網,33.796234,130.950516,,,,,
40,萩ヶ丘公園,800-0024,門司区,大里戸ノ上３丁目８,33.90477,130.943328,,,,,
41,アドベンチャープール,,小倉南区,志井公園２−１,33.81844,130.880684,093-963-5900,http://adpool.jp/,,,
43,葛原八幡神社,800-0251 ,小倉南区,葛原4−3−1,33.845912,130.914385,,http://www.kiyomaro.or.jp/,,,
44,妙見宮,802-0041,小倉北区,妙見町１７−２,33.862774,130.903034,093-921-2292,http://myouken.or.jp/,北九州市小倉北区足立山麓に鎮座する妙見宮（御祖神社）は、妙見神社として親しまれ、足の神様として多くの信仰がございます。豊かな自然に包まれた中での古式ゆかしい神前結婚式を執り行います。新社殿は冷暖房完備。お祓い・行事の情報も随時更新中。,,
45,曲里の松並木公園 ,,八幡西区,熊手３丁目-３-１４,33.862064,130.76497,,,,,
49,綿都美神社,800-0204,小倉南区,中吉田１丁目２３−１０,33.848612,130.953976,,,,,
50,魚町銀天街,802-0006,小倉北区,魚町１丁目４−６,33.885108,130.880168,093-521-6801,http://www.uomachi.or.jp/,,,
51,高見神社,805-0016,八幡東区,高見１−１−１,33.866743,130.824742,093-651-5108,http://www.takamijinjya.com/,,,
52,乳山八幡神社,805-0048,八幡東区,大蔵２丁目１６−３３,33.861246,130.819359,093-652-9215,https://chiyamahachiman.jimdo.com/,大蔵地区を守る氏神様　乳山八幡神社　の公式ホームページです。 当社は今からおよそ1800年もの昔、第十四代仲哀(ちゅうあい)天皇さまと神功皇后さまは、熊襲征伐と朝鮮への出兵のため、洞の海（洞海湾）へこられ、おとどまりになり船団を整えました。その船の帆柱を切り出したのが帆柱山でした。神功皇后さまと皇子（応神天皇）と共に皿暮山（陽が暮れた山=更暮れ山）に登り国見をされました。下山の途中この大蔵谷に立ち寄られ、この地の安泰を祈られ、又、皇子応神天皇さまにお乳を与えられたのが、現在の社地です。後、1662年（寛文二年）大字大蔵（大蔵村）の産土神（うぢがみ）様として、村人がこの聖地に社を建立し、氏子の人々により祭りを続けてきました。 大蔵地区の平安と繁栄を日夜守り導いて下さっている神様です。,,
53,枝光八幡宮,805-0006,八幡東区,諏訪２丁目１−１４,33.872078,130.820228,,http://www.kcta.or.jp/kaidou/jinzya/yahatahigashi/edamitu/edamitu.html,八幡製鐵所本事務所があった八幡東区枝光界隈は、往年の賑わいは失われましたが、製鐵所跡地の東田地区再開発にともない新しくホテルやマンションが建つ等変貌を遂げつつあります。 　懐かしさの残る枝光本町商店街を東に５００メートルほど登っていくと枝光八幡宮の鳥居に着きます。樹林が茂る１８７段の石段を登りつめると境内です。 建久５年（１１９４）に下野国の宇都宮上野介重業（のちに、麻生重業と改名）が花尾城主となった折、領内の守護神として宇都宮八幡大神を勧進して枝光宮田山に祀ったのが創始と伝えられています。 その後、兵火のため社殿が焼失しましたが、寛永４年（１６２７）に、いまの諏訪山の地に社殿を遷し再建されました。現在の社殿は大正７年（１９１８）に建立されたもので、平成６年（１９９４）秋には創建８００年祭が行なわれました。 相殿に奉る武御名方命（諏訪大神）は八幡大神の勧請よりも前にこの地に奉られた神で、このことから諏訪町の地名が残っています。氏子は枝光地区の６５００世帯。,,
54,中原八幡宮,804-0012 ,戸畑区,中原東３丁目１２−１,33.896985,130.849114,093-881-6840 ,http://tobatagion.jp/nakabaru/,始め戸畑村塩井崎に勧請した八幡大神を中原村の産土神として奉祀していたが、天正7年（1579）戸畑村が鳥旗に八幡神社を遷座した時、中原村古野山（現在地付近）に勧請している。その後、寛文年間に現在地に社殿を建立して古野山より移したという。 ,,
55,飛幡八幡宮,,戸畑区,浅生２丁目２−２,33.893765,130.827526,,,,,
56,菅原神社,804-0044,戸畑区,菅原１丁目１０−１５,33.886325,130.827917,,,,,
57,恵比須神社,808-0108,若松区,小竹,33.921985,130.753245,,,,,
58,日吉神社,808-0102 ,若松区,東二島２丁目１６−６,33.890588,130.756124,,,,,
59,戸明神社,808-0122 ,若松区,大字蜑住974,33.913824,130.706572,093-741-1105,http://toake.sakura.ne.jp/,,,
60,須賀神社,802-0034 ,小倉北区,須賀町１２番２４号,33.883152,130.909058,,,,,
61,春日神社,,八幡西区,藤田１丁目１０−４４,33.868458,130.773256,,,,,
62,一宮神社,806-0030,八幡西区,山寺町１２,33.861261,130.755874,,,,,
64,旦過市場,802-0006,小倉北区,魚町４丁目２−１８ ,33.881489,130.880009,093-521-4140 ,http://www.tangaichiba.jp/,たくさんの食材が集まる旦過市場の情報を発信しています ,,
65,黄金市場,802-0071,小倉北区,黄金１丁目１−２８,33.871993,130.877588,093−941−9182,http://www.kogane-ichiba.jp/,こがね市場のイベント情報を掲載 ,,
66,チャチャタウン,802-0014,小倉北区,砂津３−１−１,33.88324,130.889078,093-513-6363,http://www.chachatown.com/,ショッピングモール　チャチャタウン ,,
67,リバーウォーク,,小倉北区,室町１丁目１−１,33.885883,130.875257,,http://riverwalk.co.jp/,,,
68,イオンモール八幡東,805-0071,八幡東区,東田３丁目２−１０２,33.870686,130.811274,093-663-7111 ,http://www.aeon.jp/sc/yahatahigashi/,イオンモール八幡東は「イオン八幡東店」を核店舗に、ファッション、飲食、サービスなどの専門店で構成されたイオンモールです。 ,,
69,井筒屋黒崎店,806-8511,八幡西区,黒崎1−1−1,33.866687,130.768536,093-643-5111,http://www.izutsuya.co.jp/storelist/kurosaki/,,,
70,サンリブ若松,808-0034 ,若松区,本町３丁目１１−１,33.901454,130.808559,,http://www.sunlive.co.jp/shop/サンリブ若松/,サンリブは食品・日用雑貨・衣料・専門店（テナント）・文化情報・サービスなどを盛り込んだ生活提案型のスーパーマーケットです。 ,,
71,エスト本町商店街,808-0034 ,若松区,本町,33.903857,130.810251,,,,,
72,戸畑イオン,804-0067,戸畑区,汐井町２−２,33.896188,130.819817,093-871-1111,http://tobata.aeonkyushu.com/,イオン戸畑ショッピングセンターです。 ,,
73,ミクニワールドスタジアム,802-0001,小倉北区,浅野3−9−33,33.891948,130.8864683,,https://www.giravanz.jp/stadium/home_stadium.html,Jリーグのサッカーチーム、ギラヴァンツ北九州の本拠地。海に面した立地で位置によっては関門海峡を通る船を見ることができます。,,ミクニワールドスタジアム.html
74,魚町銀天街,小倉北区,魚町3-1-15,093-521-6801,33.885705,130.880115,,http://www.uomachi.or.jp/,魚町商店街（北九州市小倉北区） &#8211; 日本で最初にアーケードを造った商店街－魚町商店街－,,
